Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
House for sale,Rue des Plaiteux 3,"€ 280,000",4 bedrooms | 128 m² ,4 bedrooms,No,Semi equipped,Good,150 m² ,No
House for sale,Rue des Pinsons 7,"€ 375,000",3 bedrooms | 165 m² ,3 bedrooms,No,Semi equipped,To be done up,500 m² ,No
Villa for sale,Guido Gezellelaan 8,"€ 799,000",4 bedrooms | 295 m² ,4 bedrooms,No,Semi equipped,Good,500 m² ,No
Town-house for sale,Rue de Lodelinsart 211,"€ 199,000",3 bedrooms | 140 m² ,3 bedrooms,No,Installed,Good,500 m² ,No
House for sale,Rue Franquet 5,"€ 99,000",2 bedrooms | 88 m² ,2 bedrooms,No,Not installed,To renovate,500 m² ,No
Maisons neuves à vendre à,Rue du Brouck,"€ 108,535",3 bedrooms | 166 m² ,3 bedrooms,No,Not installed,To renovate,500 m² ,No
House for sale,Fonteneu Haut 19,"€ 129,000",3 bedrooms | 116 m² ,3 bedrooms,No,Not installed,To be done up,70 m² ,No
Mixed-use building for sale,Place Gilles Gerard 13,"€ 139,000",1 bedroom | 97 m² ,1 bedroom,No,Installed,As new,70 m² ,No
House for sale,Bereidersstraat 37,"€ 139,000",2 bedrooms | 125 m² ,2 bedrooms,No,Hyper equipped,Just renovated,70 m² ,No
House for sale,Opgeëistenstraat 139,"€ 139,000",2 bedrooms | 130 m² ,2 bedrooms,No,Installed,Good,70 m² ,No
House for sale,Chaussee Freddy Terwagne 98,"€ 145,000",3 bedrooms | 108 m² ,3 bedrooms,No,Not installed,To restore,35 m² ,No
House for sale,Rue de l'Avocat 5,"€ 149,000",4 bedrooms | 113 m² ,4 bedrooms,Yes,Installed,Good,35 m² ,No
House for sale,Rue Jos. Duchateau 21,"€ 167,000",2 bedrooms | 153 m² ,2 bedrooms,No,Installed,Good,430 m² ,No
House for sale,Rue Werihet 105,"€ 169,000",2 bedrooms | 90 m² ,2 bedrooms,No,Installed,Good,35 m² ,No
Farmhouse for sale,Rue d'Atrin 11,"€ 175,000",5 bedrooms | 300 m² ,5 bedrooms,No,Not installed,To renovate,35 m² ,No
House for sale,Voorzienigheidsstraat 41,"€ 175,000",3 bedrooms | 115 m² ,3 bedrooms,No,Semi equipped,Good,30 m² ,No
House for sale,Rue du Bouxthay 261,"€ 179,000",5 bedrooms | 106 m² ,5 bedrooms,Yes,Semi equipped,To renovate,790 m² ,No
House for sale,Rue Lamay 163,"€ 179,000",4 bedrooms | 130 m² ,4 bedrooms,No,Installed,Good,60 m² ,No
House for sale,Rue des Pres 26,"€ 180,000",2 bedrooms | 90 m² ,2 bedrooms,No,Not installed,To be done up,120 m² ,No
House for sale,Rue Grand'Ville 86,"€ 180,000",5 bedrooms | 200 m² ,5 bedrooms,No,Installed,Good,122 m² ,No
Mixed-use building for sale,Rue Vivaldi 41,"€ 189,000",2 bedrooms | 141 m² ,2 bedrooms,No,Not installed,To be done up,133 m² ,No
House for sale,Rue Wazonstree 11,"€ 189,000",2 bedrooms | 117 m² ,2 bedrooms,Yes,Installed,Good,139 m² ,No
House for sale,Groeneweg 67,"€ 189,000",2 bedrooms | 130 m² ,2 bedrooms,No,Semi equipped,Good,80 m² ,No
House for sale,Kerkplein 19,"€ 198,000",2 bedrooms | 87 m² ,2 bedrooms,No,Installed,To be done up,80 m² ,No
Mixed-use building for sale,Rue du Pont de Wandre 19,"€ 199,000",2 bedrooms | 191 m² ,2 bedrooms,No,USA semi equipped,Good,100 m² ,No
House for sale,Rue Petite Foxhalle 126,"€ 199,000",3 bedrooms | 125 m² ,3 bedrooms,Yes,Installed,As new,151 m² ,No
Villa for sale,Rue Alfred Musin 72,"€ 200,000",3 bedrooms | 130 m² ,3 bedrooms,No,Not installed,Good,210 m² ,No
House for sale,Rue Bois de Mont 278,"€ 202,000",3 bedrooms | 151 m² ,3 bedrooms,No,USA semi equipped,Just renovated,150 m² ,No
House for sale,Spinstersstraat 29,"€ 207,000",3 bedrooms | 148 m² ,3 bedrooms,No,Hyper equipped,As new,20 m² ,No
House for sale,Route de Paifve 5,"€ 209,000",2 bedrooms | 137 m² ,2 bedrooms,No,Semi equipped,Good,84 m² ,No
Mixed-use building for sale,Martinrive 6,"€ 209,000",5 bedrooms | 208 m² ,5 bedrooms,No,Semi equipped,To renovate,84 m² ,No
House for sale,Martinrive 6,"€ 209,000",5 bedrooms | 208 m² ,5 bedrooms,No,Semi equipped,To renovate,84 m² ,No
